Wavelength,B1Blue,B2Green,B3Red,B4NIR
722,0.00008673,0.00005214,0.00085049,0.00092782
723,0.00008483,0.00006320,0.00071368,0.00105511
724,0.00008628,0.00005556,0.00062520,0.00120160
725,0.00008449,0.00007144,0.00054959,0.00137088
726,0.00009254,0.00005903,0.00049985,0.00156792
727,0.00008532,0.00005649,0.00047162,0.00180276
728,0.00009594,0.00007807,0.00043891,0.00207920
729,0.00008917,0.00004800,0.00042848,0.00240799
730,0.00009084,0.00004042,0.00040347,0.00280298
731,0.00010183,0.00005618,0.00038227,0.00327494
732,0.00009128,0.00002571,0.00035692,0.00384821
733,0.00010000,0.00003251,0.00033769,0.00454832
734,0.00008800,0.00002175,0.00030789,0.00540493
735,0.00009430,0.00000592,0.00029814,0.00645469
736,0.00008055,0.00001077,0.00024879,0.00774941
737,0.00008475,0.00000286,0.00021170,0.00936399
738,0.00007796,0.00000380,0.00018471,0.01137832
739,0.00007850,0.00000323,0.00013393,0.01388118
740,0.00007713,0.00000149,0.00012509,0.01700597
741,0.00007770,0.00000247,0.00007240,0.02092752
742,0.00007623,0.00000112,0.00006419,0.02586928
743,0.00007664,0.00000145,0.00003891,0.03206911
744,0.00007474,0.00000111,0.00003294,0.03985523
745,0.00007405,0.00000139,0.00002353,0.04956652
746,0.00007519,0.00000105,0.00002711,0.06173849
747,0.00007318,0.00000141,0.00001690,0.07680296
748,0.00007349,0.00000097,0.00001474,0.09550239
749,0.00007204,0.00000085,0.00001598,0.11837088
750,0.00007375,0.00000123,0.00001292,0.14615821
751,0.00007369,0.00000158,0.00001366,0.19110224
752,0.00007149,0.00000089,0.00001329,0.23178705
753,0.00007148,0.00000137,0.00001411,0.27801636
754,0.00007312,0.00000086,0.00002354,0.33031673
755,0.00007167,0.00000158,0.00009563,0.38771033
756,0.00007255,0.00000202,0.00012882,0.44914649
757,0.00007120,0.00000091,0.00011528,0.51370254
758,0.00007186,0.00000174,0.00001687,0.57939644
759,0.00007087,0.00000102,0.00015343,0.64484781
760,0.00007145,0.00000200,0.00012777,0.70835304
761,0.00007024,0.00000128,0.00015354,0.76788190
762,0.00007096,0.00000479,0.00024298,0.82252523
763,0.00007041,0.00000149,0.00015520,0.87063314
764,0.00007088,0.00000719,0.00024274,0.91086251
765,0.00006995,0.00000417,0.00012696,0.94360264
766,0.00007149,0.00000502,0.00014910,0.96734308
767,0.00006924,0.00000963,0.00000979,0.98447500
768,0.00007103,0.00000561,0.00000629,0.99402844
769,0.00006949,0.00000984,0.00000738,0.99904759
770,0.00007093,0.00000949,0.00000483,1.00000000
771,0.00006951,0.00000318,0.00000489,0.99829749
772,0.00007194,0.00000643,0.00000536,0.99534944
773,0.00007193,0.00000153,0.00000458,0.99113813
774,0.00006859,0.00000184,0.00000528,0.98712837
775,0.00006781,0.00000116,0.00000438,0.98344438
776,0.00007056,0.00000173,0.00000475,0.97955733
777,0.00006741,0.00000086,0.00000446,0.97683333
778,0.00006870,0.00000185,0.00000488,0.97381307
779,0.00006628,0.00000089,0.00000456,0.97171326
780,0.00006687,0.00000193,0.00000547,0.96937935
781,0.00006601,0.00000096,0.00000448,0.96682308
782,0.00006595,0.00000196,0.00000478,0.96494693
783,0.00006670,0.00000116,0.00000435,0.96155704
784,0.00006450,0.00000200,0.00000470,0.95914861
785,0.00006595,0.00000115,0.00000425,0.95524656
786,0.00006433,0.00000195,0.00000458,0.95141098
787,0.00006569,0.00000131,0.00000435,0.94725240
788,0.00006431,0.00000197,0.00000380,0.94238136
789,0.00006573,0.00000125,0.00000373,0.93805030
790,0.00006406,0.00000187,0.00000298,0.93299243
791,0.00006507,0.00000099,0.00000390,0.92787669
792,0.00006298,0.00000070,0.00000278,0.92261726
793,0.00006428,0.00000049,0.00000290,0.91765026
794,0.00006201,0.00000119,0.00000277,0.91344782
795,0.00006357,0.00000051,0.00000307,0.90866986
796,0.00006101,0.00000135,0.00000247,0.90481152
797,0.00006096,0.00000086,0.00000231,0.90031693
798,0.00006309,0.00000153,0.00000301,0.89720732
799,0.00006103,0.00000104,0.00000293,0.89342505
800,0.00006314,0.00000186,0.00000319,0.89040645
801,0.00006382,0.00000156,0.00000351,0.88745245
802,0.00006164,0.00000205,0.00000323,0.88446834
803,0.00006245,0.00000293,0.00000339,0.88140255
804,0.00006061,0.00000170,0.00000318,0.87825555
805,0.00005973,0.00000296,0.00000318,0.87487903
806,0.00006261,0.00000182,0.00000396,0.87077850
807,0.00005982,0.00000266,0.00000313,0.86665463
808,0.00006197,0.00000171,0.00000364,0.86193864
809,0.00005956,0.00000236,0.00000310,0.85704385
810,0.00006099,0.00000240,0.00000419,0.85203260
811,0.00005881,0.00000093,0.00000349,0.84608531
812,0.00005972,0.00000174,0.00000396,0.84067874
813,0.00006005,0.00000183,0.00000341,0.83464870
814,0.00005691,0.00000096,0.00000365,0.82847182
815,0.00005647,0.00000144,0.00000362,0.82237664
816,0.00005823,0.00000177,0.00000290,0.81646034
817,0.00005603,0.00000076,0.00000345,0.81067178
818,0.00005759,0.00000198,0.00000289,0.80547624
819,0.00005605,0.00000079,0.00000288,0.79996761
820,0.00005558,0.00000160,0.00000429,0.79538371
821,0.00005646,0.00000058,0.00000323,0.79048464
822,0.00005480,0.00000154,0.00000329,0.78593335
823,0.00005543,0.00000070,0.00000329,0.78246221
824,0.00005551,0.00000161,0.00000455,0.77854086
825,0.00005357,0.00000076,0.00000497,0.77505353
826,0.00005295,0.00000068,0.00000353,0.77183963
827,0.00005549,0.00000245,0.00000556,0.76834628
828,0.00005286,0.00000079,0.00000383,0.76559075
829,0.00005495,0.00000299,0.00000507,0.76238953
830,0.00005278,0.00000128,0.00000482,0.75915219
831,0.00005414,0.00000285,0.00000484,0.75631414
832,0.00005475,0.00000154,0.00000546,0.75288758
833,0.00005169,0.00000296,0.00000374,0.74984835
834,0.00005307,0.00000178,0.00000601,0.74648701
835,0.00005117,0.00000333,0.00000422,0.74311251
836,0.00005068,0.00000130,0.00000512,0.73936992
837,0.00005036,0.00000347,0.00000509,0.73559705
838,0.00005270,0.00000220,0.00000286,0.73163277
839,0.00004991,0.00000159,0.00000637,0.72765295
840,0.00005177,0.00000449,0.00000539,0.72334537
841,0.00005900,0.00000188,0.00000579,0.71892768
842,0.00004889,0.00000635,0.00000462,0.71424776
843,0.00006116,0.00000903,0.00000647,0.70932732
844,0.00005285,0.00000344,0.00000604,0.70417024
845,0.00006427,0.00001051,0.00000432,0.69865547
846,0.00005589,0.00000601,0.00000662,0.69314542
847,0.00006943,0.00000991,0.00000521,0.68706957
848,0.00006195,0.00001299,0.00000680,0.68120878
849,0.00007219,0.00000632,0.00001180,0.67553032
850,0.00007275,0.00001514,0.00000638,0.66989091
851,0.00006694,0.00000941,0.00000805,0.66440763
852,0.00007232,0.00001426,0.00000389,0.65922988
853,0.00006712,0.00000749,0.00001200,0.65415969
854,0.00007044,0.00001524,0.00001134,0.64965635
855,0.00006607,0.00000887,0.00000562,0.64537477
856,0.00007040,0.00000743,0.00001181,0.64153052
857,0.00007120,0.00001404,0.00000868,0.63820324
858,0.00006047,0.00000558,0.00001541,0.63506916
859,0.00006863,0.00001092,0.00001086,0.63264959
860,0.00006547,0.00001135,0.00001222,0.62992135
861,0.00005919,0.00000460,0.00000823,0.62726732
862,0.00006852,0.00001024,0.00000960,0.62445640
863,0.00005996,0.00000547,0.00000871,0.62156999
864,0.00006589,0.00001036,0.00001051,0.61847181
865,0.00006938,0.00000503,0.00001235,0.61501909
866,0.00006013,0.00001140,0.00000864,0.61133939
867,0.00007365,0.00000557,0.00001357,0.60744762
868,0.00006702,0.00001124,0.00001158,0.60314205
869,0.00007595,0.00000612,0.00001522,0.59883705
870,0.00008089,0.00001120,0.00001091,0.59425662
871,0.00006987,0.00000642,0.00001237,0.58928886
872,0.00008784,0.00001093,0.00000928,0.58381508
873,0.00007751,0.00000638,0.00000973,0.57719033
874,0.00009504,0.00001191,0.00000865,0.56857851
875,0.00010978,0.00000531,0.00001333,0.55699311
876,0.00008984,0.00000907,0.00000847,0.54163099
877,0.00012777,0.00000487,0.00001329,0.52202898
878,0.00010534,0.00000794,0.00000740,0.49847084
879,0.00014784,0.00000998,0.00000974,0.47191641
880,0.00012341,0.00000316,0.00001229,0.44270534
881,0.00017455,0.00000322,0.00001128,0.41155122
882,0.00018601,0.00001260,0.00000704,0.37843868
883,0.00015342,0.00000365,0.00001244,0.34304355
884,0.00020484,0.00000446,0.00000915,0.30590964
885,0.00017984,0.00001209,0.00001448,0.26730226
886,0.00018931,0.00000567,0.00001164,0.22805403
887,0.00022557,0.00001173,0.00000861,0.18974714
888,0.00022780,0.00000705,0.00001441,0.15369596
889,0.00021393,0.00001006,0.00000700,0.12145605
890,0.00022939,0.00000466,0.00001461,0.09413162
891,0.00023016,0.00000325,0.00001401,0.07189929
892,0.00021920,0.00000921,0.00001007,0.05457376
893,0.00021508,0.00000755,0.00001695,0.04144546
894,0.00022046,0.00000493,0.00002042,0.03158417
895,0.00020159,0.00000922,0.00002108,0.02425525
896,0.00021016,0.00000673,0.00003064,0.01879617
897,0.00018988,0.00001643,0.00003171,0.01470317
898,0.00019842,0.00001135,0.00004339,0.01163795
899,0.00017117,0.00001160,0.00004171,0.00930858
900,0.00018205,0.00002335,0.00005692,0.00744330
901,0.00015240,0.00001573,0.00007019,0.00607348
902,0.00014443,0.00002364,0.00007121,0.00501379
903,0.00015946,0.00001931,0.00007122,0.00413379
904,0.00014629,0.00002613,0.00008504,0.00347084
905,0.00012207,0.00002318,0.00007450,0.00293573
906,0.00013127,0.00001698,0.00008010,0.00250919
907,0.00010545,0.00001954,0.00008936,0.00215786
908,0.00011422,0.00001127,0.00008826,0.00186591
909,0.00009446,0.00001395,0.00008831,0.00163284
910,0.00009843,0.00001618,0.00009721,0.00142997
911,0.00008316,0.00000862,0.00009019,0.00127599
912,0.00008914,0.00001383,0.00008741,0.00112918
913,0.00008435,0.00000962,0.00008467,0.00102171
914,0.00006511,0.00000696,0.00007373,0.00091069
915,0.00007269,0.00000696,0.00006748,0.00083541
916,0.00006160,0.00000561,0.00006984,0.00075489
917,0.00006279,0.00000807,0.00005307,0.00069931
918,0.00005814,0.00000905,0.00004844,0.00063879
919,0.00005882,0.00000632,0.00005417,0.00059080
920,0.00005406,0.00000850,0.00004482,0.00055023
921,0.00005351,0.00000820,0.00004483,0.00050660
922,0.00005183,0.00001222,0.00003814,0.00047777
923,0.00005084,0.00000921,0.00003524,0.00044789
924,0.00004786,0.00001027,0.00002726,0.00041317
925,0.00004877,0.00001204,0.00002455,0.00039493
926,0.00004859,0.00001323,0.00002566,0.00035947
