Wavelength,Panchromatic,NIR1,Red,Green,Blue,Red Edge,Yellow,Coastal,NIR2
543,7.126E-01,1.398E-06,7.149E-07,8.792E-01,2.823E-05,5.609E-08,9.537E-07,6.667E-08,5.579E-07
544,7.144E-01,1.391E-06,1.103E-06,8.767E-01,2.503E-05,1.878E-07,8.757E-07,2.853E-08,1.494E-08
545,7.157E-01,1.272E-06,8.608E-07,8.748E-01,2.216E-05,2.916E-07,8.029E-07,9.102E-08,1.805E-07
546,7.171E-01,1.226E-06,6.041E-07,8.759E-01,1.970E-05,1.521E-07,7.341E-07,1.713E-07,5.238E-07
547,7.184E-01,1.280E-06,6.625E-07,8.771E-01,1.723E-05,4.503E-08,7.459E-07,7.541E-08,3.259E-07
548,7.197E-01,1.481E-06,7.904E-07,8.781E-01,1.496E-05,1.366E-08,6.929E-07,1.017E-07,9.546E-08
549,7.217E-01,1.921E-06,1.056E-06,8.802E-01,1.340E-05,1.647E-08,5.944E-07,1.332E-07,6.583E-07
550,7.249E-01,2.779E-06,1.414E-06,8.916E-01,1.219E-05,4.090E-08,6.610E-07,2.573E-07,3.434E-06
551,7.282E-01,3.568E-06,1.393E-06,9.031E-01,1.127E-05,1.813E-09,7.278E-07,1.981E-07,4.678E-06
552,7.317E-01,3.800E-06,9.188E-07,9.134E-01,1.030E-05,1.465E-08,7.154E-07,1.690E-07,3.135E-06
553,7.354E-01,3.529E-06,9.635E-07,9.246E-01,9.534E-06,1.719E-08,8.328E-07,4.139E-07,1.286E-06
554,7.385E-01,2.873E-06,1.069E-06,9.401E-01,8.892E-06,1.030E-10,7.829E-07,8.628E-08,9.115E-09
555,7.407E-01,2.379E-06,1.691E-06,9.540E-01,7.926E-06,7.369E-10,6.627E-07,6.218E-08,5.572E-07
556,7.430E-01,2.198E-06,9.877E-07,9.632E-01,6.683E-06,2.999E-09,6.954E-07,1.023E-07,3.255E-06
557,7.460E-01,2.401E-06,8.666E-07,9.714E-01,5.679E-06,4.725E-10,8.604E-07,6.867E-08,3.887E-07
558,7.495E-01,2.732E-06,1.022E-06,9.678E-01,5.311E-06,7.578E-09,9.128E-07,1.322E-07,1.209E-07
559,7.522E-01,3.491E-06,1.811E-06,9.650E-01,4.554E-06,3.256E-08,1.180E-06,8.391E-08,4.557E-07
560,7.541E-01,4.850E-06,2.224E-06,9.699E-01,3.967E-06,1.196E-08,1.576E-06,1.613E-07,2.216E-06
