Wavelength,PAN,BLUE,GREEN,RED,NIR
569,9.127E-01,9.031E-06,9.997E-01,1.587E-06,4.491E-07
570,9.126E-01,8.251E-06,9.977E-01,1.092E-06,6.577E-07
571,9.124E-01,7.551E-06,9.963E-01,5.279E-07,6.147E-07
572,9.122E-01,6.825E-06,9.965E-01,2.588E-07,6.668E-07
573,9.120E-01,6.219E-06,9.949E-01,1.459E-07,5.553E-07
574,9.119E-01,5.620E-06,9.885E-01,8.739E-08,4.554E-07
575,9.118E-01,5.115E-06,9.696E-01,6.557E-08,4.351E-07
576,9.118E-01,4.702E-06,9.168E-01,3.062E-08,3.832E-07
577,9.117E-01,4.304E-06,8.435E-01,2.829E-08,3.603E-07
578,9.116E-01,4.105E-06,7.159E-01,1.682E-08,3.286E-07
579,9.118E-01,3.910E-06,5.849E-01,2.344E-08,4.602E-07
580,9.121E-01,3.729E-06,4.453E-01,3.409E-08,4.486E-07
581,9.124E-01,3.628E-06,3.188E-01,2.079E-08,3.847E-07
582,9.127E-01,3.468E-06,2.257E-01,3.387E-08,4.537E-07
583,9.130E-01,3.338E-06,1.462E-01,4.472E-08,4.094E-07
584,9.149E-01,3.229E-06,1.002E-01,2.231E-08,4.136E-07
585,9.181E-01,3.082E-06,6.212E-02,2.619E-08,5.789E-07
586,9.214E-01,2.985E-06,4.116E-02,2.997E-08,6.199E-07
587,9.246E-01,2.927E-06,2.628E-02,1.091E-08,7.042E-07
588,9.278E-01,2.962E-06,1.590E-02,1.392E-08,8.292E-07
589,9.307E-01,3.111E-06,1.083E-02,2.120E-08,8.428E-07
590,9.332E-01,3.245E-06,6.266E-03,3.990E-08,9.509E-07
591,9.358E-01,3.406E-06,4.583E-03,3.959E-08,1.246E-06
592,9.384E-01,3.660E-06,3.431E-03,2.668E-08,1.798E-06
593,9.409E-01,3.983E-06,2.597E-03,3.221E-08,1.706E-06
594,9.416E-01,4.283E-06,2.004E-03,4.450E-08,1.152E-06
595,9.410E-01,4.557E-06,1.569E-03,3.661E-08,5.925E-07
596,9.404E-01,4.791E-06,1.246E-03,5.448E-08,2.528E-07
597,9.398E-01,4.619E-06,9.713E-04,5.531E-08,8.496E-08
598,9.391E-01,4.417E-06,7.564E-04,1.530E-08,1.311E-07
599,9.406E-01,4.249E-06,5.885E-04,2.168E-08,1.256E-07
600,9.436E-01,3.732E-06,4.572E-04,3.663E-08,1.131E-07
601,9.465E-01,3.127E-06,3.567E-04,7.102E-08,1.981E-07
602,9.494E-01,2.601E-06,2.783E-04,6.087E-08,2.274E-07
603,9.524E-01,2.137E-06,2.174E-04,4.420E-08,1.787E-07
604,9.555E-01,1.725E-06,1.708E-04,5.569E-08,1.738E-07
605,9.588E-01,1.363E-06,1.353E-04,4.285E-08,1.559E-07
606,9.620E-01,1.052E-06,1.079E-04,2.902E-08,1.029E-07
607,9.652E-01,8.512E-07,8.731E-05,4.491E-08,6.781E-08
608,9.685E-01,6.743E-07,7.138E-05,6.409E-08,4.041E-08
609,9.688E-01,5.342E-07,5.908E-05,7.138E-08,4.705E-09
610,9.672E-01,4.439E-07,4.988E-05,8.287E-08,1.350E-10
611,9.657E-01,3.825E-07,4.220E-05,8.998E-08,1.615E-08
612,9.642E-01,3.529E-07,3.640E-05,8.211E-08,2.880E-08
613,9.627E-01,3.371E-07,3.192E-05,8.815E-08,6.249E-08
614,9.605E-01,3.214E-07,2.822E-05,9.407E-08,1.339E-07
615,9.580E-01,3.055E-07,2.551E-05,1.250E-07,7.428E-08
616,9.555E-01,2.954E-07,2.324E-05,1.290E-07,9.257E-08
617,9.530E-01,2.790E-07,2.127E-05,1.384E-07,7.493E-08
618,9.505E-01,2.631E-07,1.983E-05,1.726E-07,3.836E-08
619,9.515E-01,2.311E-07,1.837E-05,1.659E-07,3.600E-08
620,9.542E-01,2.102E-07,1.715E-05,1.772E-07,2.618E-08
621,9.570E-01,2.007E-07,1.597E-05,2.048E-07,3.909E-08
622,9.598E-01,1.825E-07,1.473E-05,2.226E-07,2.227E-08
623,9.626E-01,1.780E-07,1.376E-05,2.102E-07,3.495E-08
624,9.671E-01,1.717E-07,1.257E-05,2.549E-07,8.576E-08
625,9.726E-01,1.565E-07,1.131E-05,3.233E-07,1.176E-07
626,9.780E-01,1.523E-07,1.018E-05,3.880E-07,1.088E-07
627,9.835E-01,1.506E-07,9.007E-06,4.417E-07,1.236E-07
628,9.889E-01,1.471E-07,7.912E-06,5.139E-07,9.684E-08
629,9.906E-01,1.606E-07,6.999E-06,6.413E-07,1.467E-07
630,9.905E-01,1.620E-07,6.105E-06,8.025E-07,2.549E-07
631,9.904E-01,1.544E-07,5.347E-06,9.951E-07,2.888E-07
632,9.904E-01,1.492E-07,4.665E-06,1.318E-06,3.587E-07
633,9.903E-01,1.393E-07,4.149E-06,1.755E-06,5.075E-07
634,9.885E-01,1.239E-07,3.704E-06,2.348E-06,5.214E-07
635,9.860E-01,1.104E-07,3.268E-06,3.224E-06,4.436E-07
636,9.836E-01,1.025E-07,2.929E-06,4.577E-06,4.269E-07
637,9.811E-01,9.745E-08,2.661E-06,6.624E-06,4.420E-07
638,9.786E-01,9.475E-08,2.393E-06,9.688E-06,3.747E-07
639,9.795E-01,9.326E-08,2.188E-06,1.462E-05,3.680E-07
640,9.818E-01,8.483E-08,2.026E-06,2.271E-05,2.915E-07
641,9.841E-01,7.842E-08,1.914E-06,3.589E-05,2.236E-07
642,9.864E-01,8.676E-08,1.837E-06,5.800E-05,2.604E-07
643,9.887E-01,1.051E-07,1.749E-06,9.683E-05,2.878E-07
644,9.909E-01,1.075E-07,1.692E-06,1.665E-04,2.559E-07
645,9.932E-01,1.096E-07,1.630E-06,2.953E-04,2.869E-07
646,9.955E-01,1.371E-07,1.572E-06,5.443E-04,3.073E-07
647,9.977E-01,1.474E-07,1.554E-06,1.049E-03,2.993E-07
648,1.000E+00,1.437E-07,1.573E-06,2.112E-03,3.735E-07
649,9.986E-01,1.637E-07,1.546E-06,4.508E-03,4.337E-07
650,9.960E-01,1.873E-07,1.516E-06,1.439E-02,3.522E-07
651,9.933E-01,2.066E-07,1.560E-06,4.222E-02,2.779E-07
652,9.907E-01,2.357E-07,1.527E-06,8.759E-02,2.957E-07
653,9.880E-01,2.726E-07,1.456E-06,1.946E-01,2.550E-07
654,9.854E-01,3.225E-07,1.433E-06,3.758E-01,1.782E-07
655,9.828E-01,4.029E-07,1.397E-06,5.630E-01,2.179E-07
656,9.802E-01,5.162E-07,1.336E-06,7.573E-01,2.290E-07
657,9.776E-01,6.483E-07,1.270E-06,8.786E-01,1.248E-07
658,9.750E-01,8.405E-07,1.187E-06,9.162E-01,1.286E-07
659,9.757E-01,1.084E-06,1.109E-06,9.345E-01,1.427E-07
660,9.775E-01,1.355E-06,1.034E-06,9.313E-01,1.238E-07
661,9.792E-01,1.674E-06,9.302E-07,9.289E-01,1.472E-07
662,9.809E-01,2.034E-06,8.244E-07,9.276E-01,1.697E-07
663,9.827E-01,2.409E-06,7.764E-07,9.276E-01,1.956E-07
664,9.846E-01,2.845E-06,7.222E-07,9.290E-01,2.079E-07
665,9.867E-01,3.355E-06,6.195E-07,9.345E-01,2.203E-07
666,9.887E-01,3.962E-06,5.479E-07,9.442E-01,2.205E-07
667,9.907E-01,4.701E-06,5.036E-07,9.575E-01,2.201E-07
668,9.928E-01,5.601E-06,4.557E-07,9.745E-01,2.718E-07
669,9.922E-01,6.708E-06,4.524E-07,9.874E-01,2.570E-07
670,9.909E-01,7.972E-06,4.645E-07,9.962E-01,1.704E-07
671,9.896E-01,9.288E-06,4.834E-07,9.998E-01,1.625E-07
672,9.883E-01,1.060E-05,4.882E-07,9.982E-01,1.522E-07
673,9.870E-01,1.183E-05,4.343E-07,9.976E-01,1.707E-07
674,9.837E-01,1.287E-05,4.038E-07,9.980E-01,2.872E-07
675,9.799E-01,1.368E-05,4.098E-07,9.988E-01,2.379E-07
676,9.761E-01,1.437E-05,4.101E-07,1.000E+00,1.502E-07
677,9.723E-01,1.491E-05,4.270E-07,9.984E-01,2.291E-07
678,9.685E-01,1.513E-05,4.309E-07,9.943E-01,1.762E-07
679,9.605E-01,1.534E-05,4.391E-07,9.893E-01,1.262E-07
680,9.515E-01,1.563E-05,4.510E-07,9.834E-01,2.351E-07
681,9.426E-01,1.601E-05,4.965E-07,9.759E-01,2.700E-07
682,9.336E-01,1.679E-05,4.910E-07,9.669E-01,2.557E-07
683,9.247E-01,1.806E-05,4.843E-07,9.546E-01,2.785E-07
684,9.261E-01,1.985E-05,5.538E-07,9.392E-01,3.211E-07
685,9.295E-01,2.210E-05,5.767E-07,9.340E-01,2.443E-07
686,9.330E-01,2.474E-05,5.628E-07,9.376E-01,2.106E-07
687,9.364E-01,2.774E-05,5.625E-07,9.192E-01,2.595E-07
688,9.399E-01,3.038E-05,5.725E-07,8.819E-01,1.930E-07
689,9.426E-01,3.194E-05,6.168E-07,7.289E-01,1.873E-07
690,9.451E-01,3.209E-05,6.575E-07,4.784E-01,2.075E-07
691,9.477E-01,3.089E-05,6.931E-07,2.850E-01,9.612E-08
692,9.503E-01,2.854E-05,7.014E-07,1.386E-01,1.652E-07
693,9.528E-01,2.592E-05,7.447E-07,5.772E-02,1.710E-07
694,9.520E-01,2.350E-05,8.178E-07,2.831E-02,1.146E-07
695,9.506E-01,2.166E-05,8.561E-07,1.234E-02,1.581E-07
696,9.492E-01,2.057E-05,9.215E-07,5.959E-03,2.201E-07
697,9.478E-01,2.009E-05,9.215E-07,3.153E-03,3.574E-07
698,9.464E-01,2.032E-05,9.652E-07,1.775E-03,4.576E-07
699,9.480E-01,2.135E-05,1.054E-06,1.026E-03,5.188E-07
700,9.500E-01,2.309E-05,1.046E-06,6.180E-04,6.665E-07
701,9.519E-01,2.599E-05,1.096E-06,3.820E-04,7.277E-07
702,9.539E-01,3.031E-05,1.148E-06,2.440E-04,7.806E-07
703,9.558E-01,3.633E-05,1.163E-06,1.607E-04,8.869E-07
704,9.576E-01,4.499E-05,1.180E-06,1.082E-04,8.032E-07
705,9.593E-01,5.776E-05,1.115E-06,7.441E-05,7.777E-07
706,9.610E-01,7.685E-05,1.098E-06,5.210E-05,8.426E-07
707,9.627E-01,1.070E-04,1.005E-06,3.719E-05,7.668E-07
708,9.644E-01,1.550E-04,8.834E-07,2.711E-05,7.073E-07
709,9.637E-01,2.319E-04,6.839E-07,2.006E-05,7.875E-07
710,9.628E-01,3.364E-04,4.978E-07,1.502E-05,8.463E-07
711,9.619E-01,4.209E-04,3.492E-07,1.149E-05,8.519E-07
712,9.610E-01,4.193E-04,2.284E-07,8.914E-06,9.938E-07
