Wavelength,Panchromatic,NIR1,Red,Green,Blue,Red Edge,Yellow,Coastal,NIR2,SWIR1,SWIR2,SWIR3,SWIR4,SWIR5,SWIR6,SWIR7,SWIR8
489,0.5584,8.387e-07,1.562e-06,6.14e-07,0.9381,4.942e-09,3.574e-08,3.932e-07,1.975e-07,0,0,0,0,0,0,0,0
490,0.562,8.003e-07,5.923e-07,8.364e-07,0.95,1.058e-08,4.679e-10,2.65e-07,7.788e-08,0,0,0,0,0,0,0,0
491,0.5658,7.873e-07,5.03e-07,1.177e-06,0.9623,2.305e-09,6.598e-11,1.821e-07,1.912e-07,0,0,0,0,0,0,0,0
492,0.5693,7.793e-07,5.568e-07,1.8e-06,0.9633,7.161e-11,1.169e-08,2.678e-07,2.484e-07,0,0,0,0,0,0,0,0
493,0.5721,8.125e-07,7.437e-07,3.05e-06,0.963,5.689e-11,5.343e-08,3.108e-07,4.361e-07,0,0,0,0,0,0,0,0
494,0.5739,8.821e-07,4.077e-07,5.002e-06,0.9631,7.226e-09,1.858e-10,1.603e-07,4.844e-07,0,0,0,0,0,0,0,0
495,0.5735,1.506e-06,2.677e-07,8.555e-06,0.9649,5.691e-11,6.564e-11,8.411e-08,7.11e-07,0,0,0,0,0,0,0,0
496,0.573,3.626e-06,4.717e-07,1.374e-05,0.9735,2.528e-08,6.581e-11,1.329e-07,9.013e-07,0,0,0,0,0,0,0,0
497,0.5715,4.395e-06,8.014e-07,2.118e-05,0.9803,2.216e-08,2.244e-10,2.07e-07,1.696e-07,0,0,0,0,0,0,0,0
498,0.5697,2.347e-06,3.142e-07,3.275e-05,0.9857,6.672e-09,3.54e-08,4.185e-07,5.635e-08,0,0,0,0,0,0,0,0
499,0.5709,8.399e-07,4.526e-07,5.209e-05,0.9921,1.001e-08,1.722e-10,1.801e-07,5.852e-08,0,0,0,0,0,0,0,0
500,0.5779,7.647e-07,9.596e-07,9.067e-05,0.9963,1.141e-10,1.184e-08,1.057e-07,1.527e-07,0,0,0,0,0,0,0,0
501,0.5847,7.124e-07,5.298e-07,0.0001759,1,5.098e-09,6.944e-09,1.392e-07,4.232e-07,0,0,0,0,0,0,0,0
502,0.5913,6.72e-07,6.27e-07,0.0003801,0.9997,5.049e-09,5.573e-08,1.094e-07,4.582e-07,0,0,0,0,0,0,0,0
503,0.598,7.209e-07,9.602e-07,0.0009327,0.9992,4.159e-08,2.088e-08,3.907e-07,1.114e-06,0,0,0,0,0,0,0,0
504,0.6028,7.162e-07,1.253e-06,0.002439,0.9761,5.899e-08,3.626e-08,8.892e-08,4.862e-07,0,0,0,0,0,0,0,0
505,0.6035,7.145e-07,5.452e-07,0.006496,0.9524,1.75e-08,1.736e-07,1.352e-07,9.552e-08,0,0,0,0,0,0,0,0
506,0.604,7.289e-07,4.008e-07,0.02526,0.9021,9.353e-09,7.253e-08,2.693e-07,5.512e-08,0,0,0,0,0,0,0,0
507,0.6045,7.956e-07,4.852e-07,0.04684,0.8503,1.283e-08,1.959e-07,3.559e-07,6.69e-08,0,0,0,0,0,0,0,0
508,0.6048,7.781e-07,1.234e-06,0.123,0.7591,7.043e-09,2.998e-07,1.714e-07,6.352e-09,0,0,0,0,0,0,0,0
509,0.6062,7.675e-07,8.188e-07,0.2032,0.6664,3.52e-10,2.959e-07,1.445e-07,2.125e-07,0,0,0,0,0,0,0,0
510,0.6099,7.372e-07,4.176e-07,0.4016,0.5339,1.033e-08,4.816e-07,1.854e-07,1.423e-07,0,0,0,0,0,0,0,0
511,0.6138,6.961e-07,4.407e-07,0.5963,0.4018,3.453e-08,6.289e-07,2.472e-07,2.755e-07,0,0,0,0,0,0,0,0
512,0.6177,6.679e-07,8.404e-07,0.6647,0.2966,3.982e-09,5.998e-07,1.54e-07,7.046e-07,0,0,0,0,0,0,0,0
513,0.6216,6.297e-07,5.826e-07,0.7314,0.1929,3.88e-08,4.799e-07,9.151e-08,2.224e-07,0,0,0,0,0,0,0,0
514,0.6244,6.367e-07,4.287e-07,0.7505,0.1407,2.527e-08,4.305e-07,1.292e-07,4.633e-07,0,0,0,0,0,0,0,0
515,0.6255,6.47e-07,4.422e-07,0.7688,0.08881,2.729e-08,2.507e-07,5.621e-08,4.365e-07,0,0,0,0,0,0,0,0
516,0.6265,6.694e-07,5.902e-07,0.7687,0.06418,2.576e-09,2.358e-07,1.389e-07,1.74e-07,0,0,0,0,0,0,0,0
517,0.6274,8.414e-07,5.295e-07,0.7693,0.04106,8.232e-09,3.035e-07,3.11e-07,7.146e-08,0,0,0,0,0,0,0,0
518,0.6283,9.482e-07,7.833e-07,0.7876,0.02846,4.397e-08,3.342e-07,1.659e-07,3.051e-09,0,0,0,0,0,0,0,0
519,0.6299,1.036e-06,1.063e-06,0.8053,0.01918,4.27e-09,5.253e-07,1.715e-07,5.706e-08,0,0,0,0,0,0,0,0
520,0.6321,1.142e-06,4.458e-07,0.806,0.009926,3.799e-08,6.688e-07,8.778e-08,9.064e-08,0,0,0,0,0,0,0,0
521,0.634,1.186e-06,3.761e-07,0.8054,0.006864,1.629e-08,8.641e-07,2.762e-07,7.155e-07,0,0,0,0,0,0,0,0
522,0.6359,1.631e-06,7.456e-07,0.7909,0.004817,1.276e-08,7.718e-07,2.925e-07,3.37e-06,0,0,0,0,0,0,0,0
523,0.6379,1.777e-06,3.604e-07,0.7784,0.003325,8.913e-11,5.858e-07,1.915e-07,9.847e-06,0,0,0,0,0,0,0,0
