Wavelength,Pan,Green,Blue,Red,NIR,RedEdge,BlueCoastal
542,0.793299702,0.871351662,0.001911726,1.1518E-06,6.21106E-05,0.000756985,0.000273196
543,0.788577564,0.874749141,0.001659325,7.801E-07,0.000140869,0.000619702,0.000306845
544,0.782189523,0.879075391,0.00146088,1.18653E-06,0.000290598,0.000450662,0.00035257
545,0.776745888,0.882394263,0.001285424,1.46452E-06,0.000472508,0.000279732,0.000476975
546,0.774970038,0.883808487,0.001130689,3.32257E-06,0.000591132,0.00014121,0.000695138
547,0.777355467,0.884105885,0.001004964,4.34107E-06,0.000598252,5.61628E-05,0.000887429
548,0.783814691,0.886025467,0.00091331,9.62326E-06,0.000547121,2.23564E-05,0.000912509
549,0.793708706,0.891209726,0.000863759,1.70875E-05,0.000527739,1.43152E-05,0.000766045
550,0.805283263,0.898019048,0.000848345,2.6823E-05,0.000538292,9.99717E-06,0.000643974
551,0.816558929,0.902695289,0.000852252,3.22489E-05,0.00051233,7.70379E-06,0.000703251
552,0.826393324,0.903914518,0.000853909,2.69748E-05,0.000426447,6.00304E-06,0.000880139
553,0.833573764,0.902757467,0.000825712,2.18732E-05,0.000318366,3.77826E-06,0.001039785
554,0.837693343,0.90236189,0.000768772,1.90342E-05,0.00023295,4.09094E-06,0.001175856
555,0.839343267,0.904443844,0.000697199,1.49477E-05,0.000189522,4.56308E-06,0.001733662
556,0.839415007,0.907897437,0.000629443,1.0624E-05,0.000179662,2.87666E-06,0.003267578
557,0.838872675,0.910058131,0.00058297,6.02772E-06,0.00019731,2.66838E-06,0.005307039
558,0.838165878,0.909331142,0.000567388,5.62468E-06,0.000244721,2.5064E-06,0.006253646
559,0.838134136,0.908127237,0.000578365,6.57021E-06,0.000329573,2.6101E-06,0.005284342
560,0.839202012,0.910499213,0.000610975,2.93553E-06,0.000451671,3.33222E-06,0.003568847
561,0.840915003,0.918385727,0.000653017,1.45312E-06,0.000571339,2.92508E-06,0.002392639
562,0.843572747,0.931851432,0.000675259,1.67787E-06,0.000623519,2.09692E-06,0.001902076
563,0.847198708,0.947835018,0.000659368,4.73071E-06,0.000579536,2.31645E-06,0.001567518
564,0.851662742,0.962914382,0.000613721,9.95522E-06,0.000471044,2.74807E-06,0.00124139
565,0.856852421,0.974878121,0.000561022,1.38663E-05,0.000363194,2.45229E-06,0.001149855
566,0.862209857,0.982209927,0.000516763,2.12778E-05,0.00028492,3.17786E-06,0.001264178
567,0.867273401,0.984833878,0.000487885,2.84331E-05,0.0002217,3.94719E-06,0.001276937
568,0.871903019,0.984173699,0.000471983,2.57361E-05,0.000162774,3.51198E-06,0.001031365
569,0.875090575,0.981393187,0.000459636,1.93042E-05,0.000108087,3.13543E-06,0.00071479
570,0.877084147,0.979479406,0.000445224,1.73956E-05,6.59971E-05,2.5384E-06,0.001003666
571,0.877416252,0.979016947,0.000424761,1.55149E-05,4.08493E-05,2.40565E-06,0.003373042
572,0.876556265,0.978332367,0.000403545,9.17477E-06,2.70485E-05,2.86212E-06,0.007586949
